"metadataId","rank","image_url","name","score","bufaPerDay","bufaPerDayEncoded","metadataIdEncoded"
"1",1,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/1.png","Camo Bufalo - Bufalo BOTV Skull #1 ",2.6128461465936064,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x0000000000000000000000000000000000000000000000000000000000000001"
"186",1,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/186.png","Ventablack Bufalo - Bufalo BOTV Skull #186 ",2.6128461465936064,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x00000000000000000000000000000000000000000000000000000000000000ba"
"302",1,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/302.png","Bushy Bufalo - Bufalo BOTV Skull #302 ",2.6128461465936064,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x000000000000000000000000000000000000000000000000000000000000012e"
"470",1,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/470.png","E-Silk Bufalo - Bufalo BOTV Skull #470 ",2.6128461465936064,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x00000000000000000000000000000000000000000000000000000000000001d6"
"738",1,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/738.png","Chocolate Gold Bufalo - Bufalo BOTV Skull #738 ",2.6128461465936064,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x00000000000000000000000000000000000000000000000000000000000002e2"
"133",6,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/133.png","Rusted Bufalo - Bufalo BOTV Skull #133 ",2.588636422324367,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x0000000000000000000000000000000000000000000000000000000000000085"
"500",6,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/500.png","Half Generated Bufalo - Bufalo BOTV Skull #500 ",2.588636422324367,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x00000000000000000000000000000000000000000000000000000000000001f4"
"748",6,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/748.png","Blue Neon Bufalo - Bufalo BOTV Skull #748 ",2.588636422324367,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x00000000000000000000000000000000000000000000000000000000000002ec"
"892",6,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/892.png","Ivory Bufalo - Bufalo BOTV Skull #892 ",2.588636422324367,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x000000000000000000000000000000000000000000000000000000000000037c"
"995",6,"https://bafybeicgk7uqmmfhcopoyh7rwvqgiva7ebr6u6osqbeviel7o4x3suaiee.ipfs.nftstorage.link/995.png","Molten Lava Bufalo - Bufalo BOTV Skull #995 ",2.588636422324367,400,"0x0000000000000000000000000000000000000000000000000000000000000190","0x00000000000000000000000000000000000000000000000000000000000003e3"
